"","age_group","cumulative","date","incidence"
"151","<5",86,2020-05-02,0
"152","5-14",352,2020-05-02,2
"153","15-24",1430,2020-05-02,5
"154","25-34",2151,2020-05-02,10
"155","35-44",2162,2020-05-02,7
"156","45-54",3202,2020-05-02,0
"157","55-64",2576,2020-05-02,2
"158","65-74",1373,2020-05-02,1
"159","75-84",1324,2020-05-02,5
"160",">84",858,2020-05-02,4
"161","<5",86,2020-05-03,0
"162","5-14",352,2020-05-03,0
"163","15-24",1436,2020-05-03,6
"164","25-34",2152,2020-05-03,1
"165","35-44",2163,2020-05-03,1
"166","45-54",3210,2020-05-03,8
"167","55-64",2575,2020-05-03,-1
"168","65-74",1376,2020-05-03,3
"169","75-84",1326,2020-05-03,2
"170",">84",857,2020-05-03,-1
"171","<5",86,2020-05-04,0
"172","5-14",353,2020-05-04,1
"173","15-24",1435,2020-05-04,-1
"174","25-34",2160,2020-05-04,8
"175","35-44",2168,2020-05-04,5
"176","45-54",3219,2020-05-04,9
"177","55-64",2577,2020-05-04,2
"178","65-74",1379,2020-05-04,3
"179","75-84",1327,2020-05-04,1
"180",">84",859,2020-05-04,2
"181","<5",87,2020-05-05,1
"182","5-14",352,2020-05-05,-1
"183","15-24",1442,2020-05-05,7
"184","25-34",2160,2020-05-05,0
"185","35-44",2173,2020-05-05,5
"186","45-54",3220,2020-05-05,1
"187","55-64",2580,2020-05-05,3
"188","65-74",1381,2020-05-05,2
"189","75-84",1331,2020-05-05,4
"190",">84",860,2020-05-05,1
"191","<5",88,2020-05-06,1
"192","5-14",352,2020-05-06,0
"193","15-24",1454,2020-05-06,12
"194","25-34",2174,2020-05-06,14
"195","35-44",2182,2020-05-06,9
"196","45-54",3233,2020-05-06,13
"197","55-64",2591,2020-05-06,11
"198","65-74",1380,2020-05-06,-1
"199","75-84",1330,2020-05-06,-1
"200",">84",867,2020-05-06,7
"201","<5",88,2020-05-07,0
"202","5-14",352,2020-05-07,0
"203","15-24",1456,2020-05-07,2
"204","25-34",2175,2020-05-07,1
"205","35-44",2187,2020-05-07,5
"206","45-54",3232,2020-05-07,-1
"207","55-64",2597,2020-05-07,6
"208","65-74",1383,2020-05-07,3
"209","75-84",1330,2020-05-07,0
"210",">84",873,2020-05-07,6
"211","<5",89,2020-05-08,1
"212","5-14",353,2020-05-08,1
"213","15-24",1463,2020-05-08,7
"214","25-34",2190,2020-05-08,15
"215","35-44",2194,2020-05-08,7
"216","45-54",3249,2020-05-08,17
"217","55-64",2606,2020-05-08,9
"218","65-74",1381,2020-05-08,-2
"219","75-84",1333,2020-05-08,3
"220",">84",878,2020-05-08,5
"221","<5",89,2020-05-09,0
"222","5-14",353,2020-05-09,0
"223","15-24",1464,2020-05-09,1
"224","25-34",2200,2020-05-09,10
"225","35-44",2196,2020-05-09,2
"226","45-54",3257,2020-05-09,8
"227","55-64",2611,2020-05-09,5
"228","65-74",1380,2020-05-09,-1
"229","75-84",1336,2020-05-09,3
"230",">84",890,2020-05-09,12
"231","<5",89,2020-05-10,0
"232","5-14",353,2020-05-10,0
"233","15-24",1464,2020-05-10,0
"234","25-34",2205,2020-05-10,5
"235","35-44",2197,2020-05-10,1
"236","45-54",3257,2020-05-10,0
"237","55-64",2614,2020-05-10,3
"238","65-74",1378,2020-05-10,-2
"239","75-84",1338,2020-05-10,2
"240",">84",891,2020-05-10,1
"241","<5",89,2020-05-11,0
"242","5-14",355,2020-05-11,2
"243","15-24",1484,2020-05-11,20
"244","25-34",2228,2020-05-11,23
"245","35-44",2210,2020-05-11,13
"246","45-54",3265,2020-05-11,8
"247","55-64",2623,2020-05-11,9
"248","65-74",1385,2020-05-11,7
"249","75-84",1343,2020-05-11,5
"250",">84",892,2020-05-11,1
"251","<5",91,2020-05-12,2
"252","5-14",355,2020-05-12,0
"253","15-24",1486,2020-05-12,2
"254","25-34",2235,2020-05-12,7
"255","35-44",2217,2020-05-12,7
"256","45-54",3272,2020-05-12,7
"257","55-64",2629,2020-05-12,6
"258","65-74",1387,2020-05-12,2
"259","75-84",1344,2020-05-12,1
"260",">84",893,2020-05-12,1
"261","<5",92,2020-05-13,1
"262","5-14",358,2020-05-13,3
"263","15-24",1494,2020-05-13,8
"264","25-34",2248,2020-05-13,13
"265","35-44",2235,2020-05-13,18
"266","45-54",3290,2020-05-13,18
"267","55-64",2638,2020-05-13,9
"268","65-74",1386,2020-05-13,-1
"269","75-84",1345,2020-05-13,1
"270",">84",893,2020-05-13,0
"271","<5",93,2020-05-14,1
"272","5-14",358,2020-05-14,0
"273","15-24",1500,2020-05-14,6
"274","25-34",2260,2020-05-14,12
"275","35-44",2244,2020-05-14,9
"276","45-54",3301,2020-05-14,11
"277","55-64",2640,2020-05-14,2
"278","65-74",1388,2020-05-14,2
"279","75-84",1348,2020-05-14,3
"280",">84",894,2020-05-14,1
"281","<5",97,2020-05-15,4
"282","5-14",367,2020-05-15,9
"283","15-24",1506,2020-05-15,6
"284","25-34",2278,2020-05-15,18
"285","35-44",2259,2020-05-15,15
"286","45-54",3317,2020-05-15,16
"287","55-64",2650,2020-05-15,10
"288","65-74",1396,2020-05-15,8
"289","75-84",1349,2020-05-15,1
"290",">84",897,2020-05-15,3
"291","<5",98,2020-05-16,1
"292","5-14",368,2020-05-16,1
"293","15-24",1506,2020-05-16,0
"294","25-34",2283,2020-05-16,5
"295","35-44",2271,2020-05-16,12
"296","45-54",3323,2020-05-16,6
"297","55-64",2654,2020-05-16,4
"298","65-74",1399,2020-05-16,3
"299","75-84",1350,2020-05-16,1
"300",">84",898,2020-05-16,1
"301","<5",98,2020-05-17,0
"302","5-14",368,2020-05-17,0
"303","15-24",1510,2020-05-17,4
"304","25-34",2288,2020-05-17,5
"305","35-44",2277,2020-05-17,6
"306","45-54",3323,2020-05-17,0
"307","55-64",2658,2020-05-17,4
"308","65-74",1404,2020-05-17,5
"309","75-84",1352,2020-05-17,2
"310",">84",898,2020-05-17,0
"311","<5",99,2020-05-18,1
"312","5-14",368,2020-05-18,0
"313","15-24",1517,2020-05-18,7
"314","25-34",2301,2020-05-18,13
"315","35-44",2289,2020-05-18,12
"316","45-54",3331,2020-05-18,8
"317","55-64",2665,2020-05-18,7
"318","65-74",1407,2020-05-18,3
"319","75-84",1353,2020-05-18,1
"320",">84",900,2020-05-18,2
"321","<5",99,2020-05-19,0
"322","5-14",372,2020-05-19,4
"323","15-24",1518,2020-05-19,1
"324","25-34",2311,2020-05-19,10
"325","35-44",2299,2020-05-19,10
"326","45-54",3338,2020-05-19,7
"327","55-64",2667,2020-05-19,2
"328","65-74",1411,2020-05-19,4
"329","75-84",1358,2020-05-19,5
"330",">84",900,2020-05-19,0
"331","<5",100,2020-05-20,1
"332","5-14",375,2020-05-20,3
"333","15-24",1522,2020-05-20,4
"334","25-34",2322,2020-05-20,11
"335","35-44",2306,2020-05-20,7
"336","45-54",3348,2020-05-20,10
"337","55-64",2671,2020-05-20,4
"338","65-74",1417,2020-05-20,6
"339","75-84",1359,2020-05-20,1
"340",">84",899,2020-05-20,-1
"341","<5",100,2020-05-21,0
"342","5-14",376,2020-05-21,1
"343","15-24",1524,2020-05-21,2
"344","25-34",2335,2020-05-21,13
"345","35-44",2312,2020-05-21,6
"346","45-54",3352,2020-05-21,4
"347","55-64",2674,2020-05-21,3
"348","65-74",1420,2020-05-21,3
"349","75-84",1361,2020-05-21,2
"350",">84",899,2020-05-21,0
"351","<5",104,2020-05-22,4
"352","5-14",380,2020-05-22,4
"353","15-24",1528,2020-05-22,4
"354","25-34",2341,2020-05-22,6
"355","35-44",2315,2020-05-22,3
"356","45-54",3364,2020-05-22,12
"357","55-64",2685,2020-05-22,11
"358","65-74",1423,2020-05-22,3
"359","75-84",1361,2020-05-22,0
"360",">84",899,2020-05-22,0
"361","<5",107,2020-05-23,3
"362","5-14",382,2020-05-23,2
"363","15-24",1533,2020-05-23,5
"364","25-34",2342,2020-05-23,1
"365","35-44",2317,2020-05-23,2
"366","45-54",3366,2020-05-23,2
"367","55-64",2688,2020-05-23,3
"368","65-74",1423,2020-05-23,0
"369","75-84",1362,2020-05-23,1
"370",">84",899,2020-05-23,0
"371","<5",107,2020-05-24,0
"372","5-14",384,2020-05-24,2
"373","15-24",1537,2020-05-24,4
"374","25-34",2349,2020-05-24,7
"375","35-44",2325,2020-05-24,8
"376","45-54",3370,2020-05-24,4
"377","55-64",2695,2020-05-24,7
"378","65-74",1426,2020-05-24,3
"379","75-84",1363,2020-05-24,1
"380",">84",900,2020-05-24,1
"381","<5",109,2020-05-25,2
"382","5-14",385,2020-05-25,1
"383","15-24",1542,2020-05-25,5
"384","25-34",2352,2020-05-25,3
"385","35-44",2332,2020-05-25,7
"386","45-54",3374,2020-05-25,4
"387","55-64",2699,2020-05-25,4
"388","65-74",1425,2020-05-25,-1
"389","75-84",1361,2020-05-25,-2
"390",">84",899,2020-05-25,-1
"391","<5",109,2020-05-26,0
"392","5-14",385,2020-05-26,0
"393","15-24",1542,2020-05-26,0
"394","25-34",2352,2020-05-26,0
"395","35-44",2337,2020-05-26,5
"396","45-54",3377,2020-05-26,3
"397","55-64",2701,2020-05-26,2
"398","65-74",1431,2020-05-26,6
"399","75-84",1362,2020-05-26,1
"400",">84",902,2020-05-26,3
"401","<5",111,2020-05-27,2
"402","5-14",394,2020-05-27,9
"403","15-24",1546,2020-05-27,4
"404","25-34",2359,2020-05-27,7
"405","35-44",2342,2020-05-27,5
"406","45-54",3386,2020-05-27,9
"407","55-64",2702,2020-05-27,1
"408","65-74",1435,2020-05-27,4
"409","75-84",1362,2020-05-27,0
"410",">84",902,2020-05-27,0
"411","<5",113,2020-05-28,2
"412","5-14",396,2020-05-28,2
"413","15-24",1548,2020-05-28,2
"414","25-34",2361,2020-05-28,2
"415","35-44",2344,2020-05-28,2
"416","45-54",3393,2020-05-28,7
"417","55-64",2707,2020-05-28,5
"418","65-74",1436,2020-05-28,1
"419","75-84",1363,2020-05-28,1
"420",">84",901,2020-05-28,-1
"421","<5",114,2020-05-29,1
"422","5-14",399,2020-05-29,3
"423","15-24",1553,2020-05-29,5
"424","25-34",2365,2020-05-29,4
"425","35-44",2349,2020-05-29,5
"426","45-54",3396,2020-05-29,3
"427","55-64",2708,2020-05-29,1
"428","65-74",1437,2020-05-29,1
"429","75-84",1366,2020-05-29,3
"430",">84",902,2020-05-29,1
"431","<5",115,2020-05-30,1
"432","5-14",403,2020-05-30,4
"433","15-24",1558,2020-05-30,5
"434","25-34",2375,2020-05-30,10
"435","35-44",2363,2020-05-30,14
"436","45-54",3401,2020-05-30,5
"437","55-64",2712,2020-05-30,4
"438","65-74",1438,2020-05-30,1
"439","75-84",1367,2020-05-30,1
"440",">84",903,2020-05-30,1
"441","<5",115,2020-05-31,0
"442","5-14",403,2020-05-31,0
"443","15-24",1558,2020-05-31,0
"444","25-34",2378,2020-05-31,3
"445","35-44",2364,2020-05-31,1
"446","45-54",3404,2020-05-31,3
"447","55-64",2712,2020-05-31,0
"448","65-74",1437,2020-05-31,-1
"449","75-84",1368,2020-05-31,1
"450",">84",903,2020-05-31,0
"451","<5",115,2020-06-01,0
"452","5-14",404,2020-06-01,1
"453","15-24",1562,2020-06-01,4
"454","25-34",2382,2020-06-01,4
"455","35-44",2367,2020-06-01,3
"456","45-54",3407,2020-06-01,3
"457","55-64",2714,2020-06-01,2
"458","65-74",1439,2020-06-01,2
"459","75-84",1368,2020-06-01,0
"460",">84",903,2020-06-01,0
